n,chain,entity,type,address,source,page_loaded,address_on_page,label_quote,screenshot,verdict,note
11,btc,Sinbad.io,mixer,bc1qq7p0es3dv5hcynjjf40f2xjjr6qp5py47d2f6n847vduuq9gvnyq7y9ecd,https://ofac.treasury.gov/recent-actions/20231129,true,true,SINBAD (a.k.a. SINBAD.IO); Website https://sinbad.io; alt. Website http://sinbadiovklgdbafpqvwfwjh2t,data/entity-checks/11-btc-Sinbad.io.png,OK,Address confirmed in OFAC SDN entry for Sinbad.io
12,btc,Sinbad.io,mixer,1JHdQHkBZiim1cb4hyUh2PbzEbbg6z2TrF,https://ofac.treasury.gov/recent-actions/20231129,true,true,SINBAD (a.k.a. SINBAD.IO); Website https://sinbad.io; alt. Website http://sinbadiovklgdbafpqvwfwjh2t,data/entity-checks/12-btc-Sinbad.io.png,OK,Address confirmed in OFAC SDN entry for Sinbad.io
13,eth,Binance,exchange,0x28C6c06298d514Db089934071355E5743bf21d60,https://etherscan.io/address/0x28C6c06298d514Db089934071355E5743bf21d60,true,true,"Gaming Binance 14 Binance Exchange API Overview ETH BALANCE 93,500.",data/entity-checks/13-eth-Binance.png,OK,Confirmed on Etherscan as Binance
14,eth,Kraken,exchange,0x2910543Af39abA0Cd09dBb2D50200b3E800A63D2,https://etherscan.io/address/0x2910543Af39abA0Cd09dBb2D50200b3E800A63D2,true,true,Gaming Kraken 1 Kraken Exchange API Overview ETH BALANCE 0.00165307,data/entity-checks/14-eth-Kraken.png,OK,Confirmed on Etherscan as Kraken
15,eth,Coinbase,exchange,0xA090e606E30bD747d4E6245a1517EbE430F0057e,https://etherscan.io/address/0xA090e606E30bD747d4E6245a1517EbE430F0057e,true,true,ay Now! Coinbase: Miscellaneous Coinbase Exchange Deposit Address AP,data/entity-checks/15-eth-Coinbase.png,OK,Confirmed on Etherscan as Coinbase
16,eth,CoinDCX,exchange,0x4D24EecEcb86041F47bca41265319e9f06aE2Fcb,https://etherscan.io/address/0x4D24EecEcb86041F47bca41265319e9f06aE2Fcb,true,true,ay Now! CoinDCX 4 Exchange CoinDCX API Overview ETH BALANCE 1.683280,data/entity-checks/16-eth-CoinDCX.png,OK,Confirmed on Etherscan as CoinDCX
17,eth,WazirX,exchange,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4,https://etherscan.io/address/0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4,true,true,rsAlerts. WazirX 2 Source Code (Proxy) Implementation: Safe: Singleton,data/entity-checks/17-eth-WazirX.png,OK,Confirmed on Etherscan as WazirX
18,eth,Garantex,exchange,0x7FF9cFad3877F21d41Da833E2F775dB0569eE3D9,https://ofac.treasury.gov/recent-actions/20220405,true,true,"GARANTEX EUROPE OU (Latin: GARANTEX EUROPE OÜ), Harju maakond, Kesklinna linnaosa, J., Poska tn 51a/",data/entity-checks/18-eth-Garantex.png,OK,Address confirmed in OFAC SDN entry for Garantex
19,eth,Tornado Cash,mixer,0x8589427373D6D84E98730D7795D8f6f8731FDA16,https://ofac.treasury.gov/recent-actions/20220808,true,true,TORNADO CASH (a.k.a. TORNADO CASH CLASSIC; a.k.a. TORNADO CASH NOVA); Website tornado.cash; Digital,data/entity-checks/19-eth-Tornado Cash.png,OK,Address confirmed in OFAC SDN entry for Tornado Cash
20,eth,Tornado Cash,mixer,0x722122dF12D4e14e13Ac3b6895a86e84145b6967,https://ofac.treasury.gov/recent-actions/20220808,true,true,TORNADO CASH (a.k.a. TORNADO CASH CLASSIC; a.k.a. TORNADO CASH NOVA); Website tornado.cash; Digital,data/entity-checks/20-eth-Tornado Cash.png,OK,Address confirmed in OFAC SDN entry for Tornado Cash
21,eth,Tornado Cash,mixer,0xDD4c48C0B24039969fC16D1cdF626eaB821d3384,https://ofac.treasury.gov/recent-actions/20220808,true,true,TORNADO CASH (a.k.a. TORNADO CASH CLASSIC; a.k.a. TORNADO CASH NOVA); Website tornado.cash; Digital,data/entity-checks/21-eth-Tornado Cash.png,OK,Address confirmed in OFAC SDN entry for Tornado Cash
22,eth,Tornado Cash,mixer,0xd90e2f925DA726b50C4Ed8D0Fb90Ad053324F31b,https://ofac.treasury.gov/recent-actions/20220808,true,true,TORNADO CASH (a.k.a. TORNADO CASH CLASSIC; a.k.a. TORNADO CASH NOVA); Website tornado.cash; Digital,data/entity-checks/22-eth-Tornado Cash.png,OK,Address confirmed in OFAC SDN entry for Tornado Cash
23,eth,Tornado Cash,mixer,0xd96f2B1c14Db8458374d9Aca76E26c3D18364307,https://ofac.treasury.gov/recent-actions/20220808,true,true,TORNADO CASH (a.k.a. TORNADO CASH CLASSIC; a.k.a. TORNADO CASH NOVA); Website tornado.cash; Digital,data/entity-checks/23-eth-Tornado Cash.png,OK,Address confirmed in OFAC SDN entry for Tornado Cash
24,eth,Tornado Cash,mixer,0x4736dCf1b7A3d580672CcE6E7c65cd5cc9cFBa9D,https://ofac.treasury.gov/recent-actions/20220808,true,true,TORNADO CASH (a.k.a. TORNADO CASH CLASSIC; a.k.a. TORNADO CASH NOVA); Website tornado.cash; Digital,data/entity-checks/24-eth-Tornado Cash.png,OK,Address confirmed in OFAC SDN entry for Tornado Cash
25,eth,Tornado Cash,mixer,0xD4B88Df4D29F5CedD6857912842cff3b20C8Cfa3,https://ofac.treasury.gov/recent-actions/20220808,true,true,TORNADO CASH (a.k.a. TORNADO CASH CLASSIC; a.k.a. TORNADO CASH NOVA); Website tornado.cash; Digital,data/entity-checks/25-eth-Tornado Cash.png,OK,Address confirmed in OFAC SDN entry for Tornado Cash
26,eth,Tornado Cash,mixer,0x910Cbd523D972eb0a6f4cAe4618aD62622b39DbF,https://ofac.treasury.gov/recent-actions/20220808,true,true,TORNADO CASH (a.k.a. TORNADO CASH CLASSIC; a.k.a. TORNADO CASH NOVA); Website tornado.cash; Digital,data/entity-checks/26-eth-Tornado Cash.png,OK,Address confirmed in OFAC SDN entry for Tornado Cash
27,eth,Tornado Cash,mixer,0xBA214C1c1928a32Bffe790263E38B4Af9bFCD659,https://ofac.treasury.gov/recent-actions/20220808,true,true,TORNADO CASH (a.k.a. TORNADO CASH CLASSIC; a.k.a. TORNADO CASH NOVA); Website tornado.cash; Digital,data/entity-checks/27-eth-Tornado Cash.png,OK,Address confirmed in OFAC SDN entry for Tornado Cash
28,eth,Tornado Cash,mixer,0xb1C8094B234DcE6e03f10a5b673c1d8C69739A00,https://ofac.treasury.gov/recent-actions/20220808,true,true,TORNADO CASH (a.k.a. TORNADO CASH CLASSIC; a.k.a. TORNADO CASH NOVA); Website tornado.cash; Digital,data/entity-checks/28-eth-Tornado Cash.png,OK,Address confirmed in OFAC SDN entry for Tornado Cash
29,eth,Tornado Cash,mixer,0x527653eA119F3E6a1F5BD18fbF4714081D7B31ce,https://ofac.treasury.gov/recent-actions/20220808,true,true,TORNADO CASH (a.k.a. TORNADO CASH CLASSIC; a.k.a. TORNADO CASH NOVA); Website tornado.cash; Digital,data/entity-checks/29-eth-Tornado Cash.png,OK,Address confirmed in OFAC SDN entry for Tornado Cash
30,eth,Tornado Cash,mixer,0x0836222F2B2B24A3F36f98668Ed8F0B38D1a872f,https://ofac.treasury.gov/recent-actions/20220808,true,true,TORNADO CASH (a.k.a. TORNADO CASH CLASSIC; a.k.a. TORNADO CASH NOVA); Website tornado.cash; Digital,data/entity-checks/30-eth-Tornado Cash.png,OK,Address confirmed in OFAC SDN entry for Tornado Cash
31,tron,Binance,exchange,TYASr5UV6HEcXatwdFQfmLVUqQQQMUxHLS,https://tronscan.org/#/address/TYASr5UV6HEcXatwdFQfmLVUqQQQMUxHLS,api,yes,Binance-Hot 3,data/entity-checks/31-tron-Binance.png,OK,tronscan.org page blocked automated browsing (captcha); tag read from the public Tronscan account API for the same address
32,tron,Binance,exchange,TK4ykR48cQQoyFcZ5N4xZCbsBaHcg6n3gJ,https://tronscan.org/#/address/TK4ykR48cQQoyFcZ5N4xZCbsBaHcg6n3gJ,api,yes,Binance-Hot 8,data/entity-checks/32-tron-Binance.png,OK,tronscan.org page blocked automated browsing (captcha); tag read from the public Tronscan account API for the same address
33,tron,Binance,exchange,TJDENsfBJs4RFETt1X1W8wMDc8M5XnJhCe,https://tronscan.org/#/address/TJDENsfBJs4RFETt1X1W8wMDc8M5XnJhCe,api,yes,Binance-Hot 6,data/entity-checks/33-tron-Binance.png,OK,tronscan.org page blocked automated browsing (captcha); tag read from the public Tronscan account API for the same address
34,tron,Binance,exchange,TQrY8tryqsYVCYS3MFbtffiPp2ccyn4STm,https://tronscan.org/#/address/TQrY8tryqsYVCYS3MFbtffiPp2ccyn4STm,api,yes,Binance 2,data/entity-checks/34-tron-Binance.png,OK,tronscan.org page blocked automated browsing (captcha); tag read from the public Tronscan account API for the same address
35,tron,Binance,exchange,TCLgK89AnXbC9rewvhNb9UgXCc2qJJpBXh,https://tronscan.org/#/address/TCLgK89AnXbC9rewvhNb9UgXCc2qJJpBXh,api,yes,Binance-Hot 10,data/entity-checks/35-tron-Binance.png,OK,tronscan.org page blocked automated browsing (captcha); tag read from the public Tronscan account API for the same address
36,tron,Binance,exchange,TDqSquXBgUCLYvYC4XZgrprLK589dkhSCf,https://tronscan.org/#/address/TDqSquXBgUCLYvYC4XZgrprLK589dkhSCf,api,yes,Binance-Hot 7,data/entity-checks/36-tron-Binance.png,OK,tronscan.org page blocked automated browsing (captcha); tag read from the public Tronscan account API for the same address
37,tron,Binance,exchange,TAzsQ9Gx8eqFNFSKbeXrbi45CuVPHzA8wr,https://tronscan.org/#/address/TAzsQ9Gx8eqFNFSKbeXrbi45CuVPHzA8wr,api,yes,Binance-Hot 5,data/entity-checks/37-tron-Binance.png,OK,tronscan.org page blocked automated browsing (captcha); tag read from the public Tronscan account API for the same address
38,tron,Binance,exchange,TJ5usJLLwjwn7Pw3TPbdzreG7dvgKzfQ5y,https://tronscan.org/#/address/TJ5usJLLwjwn7Pw3TPbdzreG7dvgKzfQ5y,api,yes,Binance-Hot 9,data/entity-checks/38-tron-Binance.png,OK,tronscan.org page blocked automated browsing (captcha); tag read from the public Tronscan account API for the same address
39,tron,Binance,exchange,TNXoiAJ3dct8Fjg4M9fkLFh9S2v9TXc32G,https://tronscan.org/#/address/TNXoiAJ3dct8Fjg4M9fkLFh9S2v9TXc32G,api,yes,Binance-Hot 4,data/entity-checks/39-tron-Binance.png,OK,tronscan.org page blocked automated browsing (captcha); tag read from the public Tronscan account API for the same address
40,tron,OKX,exchange,TLaGjwhvA8XQYSxFAcAXy7Dvuue9eGYitv,https://tronscan.org/#/address/TLaGjwhvA8XQYSxFAcAXy7Dvuue9eGYitv,api,yes,OKX Hot Wallet 8,data/entity-checks/40-tron-OKX.png,OK,tronscan.org page blocked automated browsing (captcha); tag read from the public Tronscan account API for the same address
41,tron,Bybit,exchange,TU4vEruvZwLLkSfV9bNw12EJTPvNr7Pvaa,https://tronscan.org/#/address/TU4vEruvZwLLkSfV9bNw12EJTPvNr7Pvaa,api,yes,Bybit,data/entity-checks/41-tron-Bybit.png,OK,tronscan.org page blocked automated browsing (captcha); tag read from the public Tronscan account API for the same address
42,tron,Kraken,exchange,TG2CMGxnTPgQ6V58kiKd7wbyN8ewtAmY76,https://tronscan.org/#/address/TG2CMGxnTPgQ6V58kiKd7wbyN8ewtAmY76,api,yes,Kraken: Hot Wallet,data/entity-checks/42-tron-Kraken.png,OK,tronscan.org page blocked automated browsing (captcha); tag read from the public Tronscan account API for the same address
